path,cliente,projeto,xlsx_name,aba_usada,linha_gerenciamento,linhas_macrogrupo,ac_m2,total_obra,total_gerenciamento,pct_gerenciamento,rsm2_gerenciamento,status,erro
Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,Thozen,Mirador de Alicante,CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,10661.12,35380193.77723375,5062193.474574975,0.14307986854024432,474.8275485666585,ok,
H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,H Empreendimentos,Atlantia,CTN-H-ATL - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,12828.33,40420184.52353,3704814.2581239017,0.09165752956835711,288.7994195755723,ok,
Amalfi\Maiori\CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,Amalfi,Maiori,CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,8366.5,25185732.852655,3318913.557107,0.13177752565405818,396.6907974788741,ok,
Amalfi\Marine\CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,Amalfi,Marine,CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,4498.66,14107283.053041,2346985.5392969996,0.16636694184647255,521.7076950240738,ok,
Amalfi\Ravello\CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,Amalfi,Ravello,CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,ORÇAMENTO_EXECUTIVO - IMPREVIST,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,13434.29,31638466.93886078,4746733.278634106,0.1500304451478907,353.32967195394065,ok,
Amalfi\Tramonti\CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,Amalfi,Tramonti,CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO - IMPREVIST,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,15602.85,51217757.785890214,7713624.635108488,0.1506044967324494,494.37279952755347,ok,
Viva4\Barra4\CTN-VIV4-BAR4 - Apresentação Orçamento - R02.xlsx,Viva4,Barra4,CTN-VIV4-BAR4 - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,13223.24,41008192.08081217,5334854.690458,0.13009241372906538,403.44535003962716,ok,
Viva4\Pio4\CTN-VIV4-PIO4 - Apresentação Orçamento - R00.xlsx,Viva4,Pio4,CTN-VIV4-PIO4 - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,13540.930000000002,46779023.62094718,4850508.331328854,0.10368981555991358,358.21087113875143,ok,
XPCon\Marena\CTN-XPC_MRN - Apresentação Orçamento_R02.xlsx,XPCon,Marena,CTN-XPC_MRN - Apresentação Orçamento_R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,4174.83,13883179.263446352,1863691.1904010253,0.13424095122851448,446.4112767228906,ok,
WF\Aquarius\CTN-WF_AQU - Apresentação Orçamento - R02.xlsx,WF,Aquarius,CTN-WF_AQU - Apresentação Orçamento - R02.xlsx,GER_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,16789.049999999996,53619739.60458282,6459783.507556116,0.12047398132093887,384.7617052517038,ok,
Terrassa\Amaro\CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,Terrassa,Amaro,CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,21,10479.34,34406870.7328074,5614696.977615399,0.16318534228867587,535.7872707265342,ok,
Somauma\Virgínia\CTN-SMU-VGN - Apresentação de Orçamento - R01.xlsx,Somauma,Virgínia,CTN-SMU-VGN - Apresentação de Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,,10,10108.43,32518198.72102897,,,,ok,
Santo André\Lausanne\CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,Santo André,Lausanne,CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,26070.9,116264185.01572447,9217026.59386067,0.07927657681180227,353.536954760314,ok,
Santo André\Belle Ville\CTN-STA- BLL - Apresentação Orçamento - R01 - Final.xlsx,Santo André,Belle Ville,CTN-STA- BLL - Apresentação Orçamento - R01 - Final.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,22,7878.58,42442732.70587867,9723475.206170632,0.2290963513954852,1234.165954546458,ok,
Santa Maria\Feat\CTN-STM-FET - Apresentação Orçamento_R00.xlsx,Santa Maria,Feat,CTN-STM-FET - Apresentação Orçamento_R00.xlsx,ORÇAMENTO_PARAMÉTRICO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,22210.51,56098317.03999999,8831545.55,0.1574297771482665,397.6291201777898,ok,
Adore\Level Up\CTN-ADR-LVU- Apresentação_R00.xlsx,Adore,Level Up,CTN-ADR-LVU- Apresentação_R00.xlsx,ORÇAMENTO EXECUTIVO,,0,,,,,,ok,
AJR\Spot One\CTN-AJR-TSO - Orçamento apresentação - R03.xlsx,AJR,Spot One,CTN-AJR-TSO - Orçamento apresentação - R03.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo
ALL\Acácias JK\17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,ALL,Acácias JK,17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,1943.23,6970627.029402059,728402.3679733151,0.10449596067913527,374.841047108842,ok,
AS Ramos\Paessaggio\CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,AS Ramos,Paessaggio,CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,19,16348.1,51217476.75,4316755.05,0.08428285272760923,264.05240058477744,ok,
Blue Heaven\Monolyt\CTN_BHE-MON - Apresentação.xlsx,Blue Heaven,Monolyt,CTN_BHE-MON - Apresentação.xlsx,ORÇAMENTO_PRELIMINAR,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,14693.42,86996004.79662345,14452093.746629817,0.1661236487861192,983.5758963284121,ok,
Brasin\Mario Lago\CTN-BRS-RML-Apresentação Orçamento - R01.xlsx,Brasin,Mario Lago,CTN-BRS-RML-Apresentação Orçamento - R01.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,23491181.900000002,2283132.61,0.0971910489527136,,ok,
Brava Construtora\Mar a Vista\CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,Brava Construtora,Mar a Vista,CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,3120.05,10446494.539999997,1757024.42,0.16819272850546096,563.1398278873736,ok,
Caledonia MOWE\Caledonia MOWE\CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,Caledonia MOWE,Caledonia MOWE,CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,22,329.57,1603246.8259855874,243899.46582717574,0.1521284569999007,740.0536026555079,ok,
Carraro\Vertice\CTN-CRR-VRT - Apresentação Orçamento - R00.xlsx,Carraro,Vertice,CTN-CRR-VRT - Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Gerenciamento_Exec|Executivo
CGL\Arbol 646\CTN_CGL-ARB - Apresentação Orçamento - R00.xlsx,CGL,Arbol 646,CTN_CGL-ARB - Apresentação Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo - CASAS|CASA 01|CASA 02|CASA 03|CASA 04|COMPARATIVO
Chiquetti e Dalvesco\Esmeralda\CTN-CDV-ESM - Apresentação Orçamento_R00.xlsx,Chiquetti e Dalvesco,Esmeralda,CTN-CDV-ESM - Apresentação Orçamento_R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,5579.63,28868787.310794167,6475245.949322426,0.2242992017507193,1160.5152939034356,ok,
Chiquetti e Dalvesco\Bela Vida\CTN-CDV-BVD - Apresentação Orçamento_R01.xlsx,Chiquetti e Dalvesco,Bela Vida,CTN-CDV-BVD - Apresentação Orçamento_R01.xlsx,ORÇAMENTO_PRELIMINAR,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,5006.35,26220021.09801211,3595068.6007398292,0.13711158306475932,718.1017309496598,ok,
CK\Artefacto\CTN-CK _ART- Orçamento apresentação - R00.xlsx,CK,Artefacto,CTN-CK _ART- Orçamento apresentação - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo_01
CK\Habitah\CTN-CK _HBT- Orçamento apresentação - R01.xlsx,CK,Habitah,CTN-CK _HBT- Orçamento apresentação - R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo_01|Gerenciamento executivo  (2)
CK\Urbe\CTN-CK-URB- Apresentação Orçamento - R02.xlsx,CK,Urbe,CTN-CK-URB- Apresentação Orçamento - R02.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,13265824.464238951,1833814.4,0.13823599165988243,,ok,
CLN\Porto Ruby\CTN_CLN_PBY - Apresentação Orçamento.xlsx,CLN,Porto Ruby,CTN_CLN_PBY - Apresentação Orçamento.xlsx,GER_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,18,12972.67,42531564.12496035,4776159.3952975795,0.1122968198692371,368.17088504506626,ok,
CN\Brava Valley\CTN-CN-BBV- Apresentação_Orçamento - R00.xlsx,CN,Brava Valley,CTN-CN-BBV- Apresentação_Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Planilha1
CN\Brava Ocean\CTN-CN-BVO- Apresentação_Orçamento - R00A.xlsx,CN,Brava Ocean,CTN-CN-BVO- Apresentação_Orçamento - R00A.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,16,61763.96,210117050.09492162,31212607.6369,0.14854866667316868,505.35308352799916,ok,
CN\Brava Garden\CTN-CN-BGR- Apresentação_Orçamento - R00.xlsx,CN,Brava Garden,CTN-CN-BGR- Apresentação_Orçamento - R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Planilha1
