path,cliente,projeto,total_gerenciamento,grand_total,ac_m2,pct_ger,rsm2_ger
Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,Thozen,Mirador de Alicante,5062193.474574975,35380193.77723375,10661.12,14.307986854024431,474.8275485666585
H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,H Empreendimentos,Atlantia,3704814.2581239017,40420184.52353,12828.33,9.16575295683571,288.7994195755723
Amalfi\Maiori\CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,Amalfi,Maiori,3318913.557107,25185732.852655,8366.5,13.177752565405818,396.6907974788741
Amalfi\Marine\CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,Amalfi,Marine,2346985.539297,14107283.053041,4498.66,16.636694184647258,521.7076950240738
Amalfi\Ravello\CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,Amalfi,Ravello,4746733.278634106,31638466.93886078,13434.29,15.003044514789071,353.32967195394065
Amalfi\Tramonti\CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,Amalfi,Tramonti,7713624.635108488,51217757.78589021,15602.85,15.060449673244943,494.37279952755347
Viva4\Barra4\CTN-VIV4-BAR4 - Apresentação Orçamento - R02.xlsx,Viva4,Barra4,5334854.690458,41008192.08081217,13223.24,13.009241372906539,403.44535003962716
Viva4\Pio4\CTN-VIV4-PIO4 - Apresentação Orçamento - R00.xlsx,Viva4,Pio4,4850508.331328854,46779023.62094718,13540.930000000002,10.368981555991358,358.21087113875143
XPCon\Marena\CTN-XPC_MRN - Apresentação Orçamento_R02.xlsx,XPCon,Marena,1863691.1904010251,13883179.263446352,4174.83,13.424095122851448,446.41127672289053
WF\Aquarius\CTN-WF_AQU - Apresentação Orçamento - R02.xlsx,WF,Aquarius,6459783.507556116,53619739.60458282,16789.049999999996,12.047398132093887,384.7617052517038
Terrassa\Amaro\CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,Terrassa,Amaro,5614696.977615399,34406870.7328074,10479.34,16.318534228867588,535.7872707265342
Santo André\Lausanne\CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,Santo André,Lausanne,9217026.59386067,116264185.01572448,26070.9,7.927657681180226,353.536954760314
Santo André\Belle Ville\CTN-STA- BLL - Apresentação Orçamento - R01 - Final.xlsx,Santo André,Belle Ville,9723475.206170632,42442732.70587867,7878.58,22.90963513954852,1234.165954546458
Santa Maria\Feat\CTN-STM-FET - Apresentação Orçamento_R00.xlsx,Santa Maria,Feat,8831545.55,56098317.03999999,22210.51,15.742977714826653,397.6291201777898
ALL\Acácias JK\17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,ALL,Acácias JK,728402.3679733151,6970627.029402059,1943.23,10.449596067913529,374.841047108842
AS Ramos\Paessaggio\CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,AS Ramos,Paessaggio,4316755.05,51217476.75,16348.1,8.428285272760924,264.05240058477744
Blue Heaven\Monolyt\CTN_BHE-MON - Apresentação.xlsx,Blue Heaven,Monolyt,14452093.746629816,86996004.79662345,14693.42,16.61236487861192,983.575896328412
Brasin\Mario Lago\CTN-BRS-RML-Apresentação Orçamento - R01.xlsx,Brasin,Mario Lago,2283132.61,23491181.9,,9.719104895271363,
Brava Construtora\Mar a Vista\CTN-BRV-MAV- Apresentação Orçamento - R01.xlsx,Brava Construtora,Mar a Vista,1757024.42,10446494.539999995,3120.05,16.8192728505461,563.1398278873736
Caledonia MOWE\Caledonia MOWE\CTN_MFZ_MOWE - Apresentação Orçamento - R00.xlsx,Caledonia MOWE,Caledonia MOWE,243899.4658271757,1603246.8259855874,329.57,15.21284569999007,740.0536026555078
Chiquetti e Dalvesco\Esmeralda\CTN-CDV-ESM - Apresentação Orçamento_R00.xlsx,Chiquetti e Dalvesco,Esmeralda,6475245.949322426,28868787.310794167,5579.63,22.42992017507193,1160.5152939034356
Chiquetti e Dalvesco\Bela Vida\CTN-CDV-BVD - Apresentação Orçamento_R01.xlsx,Chiquetti e Dalvesco,Bela Vida,3595068.600739829,26220021.09801211,5006.35,13.711158306475932,718.1017309496597
CK\Urbe\CTN-CK-URB- Apresentação Orçamento - R02.xlsx,CK,Urbe,1833814.4,13265824.464238953,,13.823599165988242,
CLN\Porto Ruby\CTN_CLN_PBY - Apresentação Orçamento.xlsx,CLN,Porto Ruby,4776159.39529758,42531564.12496035,12972.67,11.229681986923714,368.1708850450663
CN\Brava Ocean\CTN-CN-BVO- Apresentação_Orçamento - R00A.xlsx,CN,Brava Ocean,31212607.6369,210117050.0949216,61763.96,14.854866667316871,505.35308352799916
Colline de France\Colline de France\CTN-COLLINE - Apresentação Orçamento - R00.xlsx,Colline de France,Colline de France,2492151.601474115,9599494.628444886,6049.169999999999,25.961279191609307,411.98240444128953
Cota\365\CTN-COT-365- Apresentação Orçamento.xlsx,Cota,365,3894011.734712333,60989058.05866331,17505.56,6.384771069864393,222.4442825429368
EZE\Bella Vivie\CTN_EZE_BLV_ Apresentação Orçamento.xlsx,EZE,Bella Vivie,1517952.9,15568937.789999995,4868.43,9.749880951897621,311.79515778187215
FG\Blue Coast\CTN-FGE-BCO - Apresentação Orçamento - R00.xlsx,FG,Blue Coast,10189225.534325795,79861234.35933675,13131.85,12.758662717983086,775.9169907001523
FG\Scenarium\CTN-FGE-SCN - Apresentação Orçamento - R00.xlsx,FG,Scenarium,22842123.31,206674002.44260004,42277.77,11.052248004121363,540.2868531145327
GMF\Moradas do Atalaia\CTN-GMF- ATA - Apresentação Orçamento - R00ok.xlsx,GMF,Moradas do Atalaia,2289625.9,23887574.139955323,7374.18,9.58500803214789,310.4922716830888
Grandezza\Gran Royal\CTN-GDZ_GRL- Apresentação Orçamento - R00.xlsx,Grandezza,Gran Royal,3441809.4857795984,10020041.553764638,5225.33,34.34925361648299,658.6779180988757
Grandezza\Gran Tower\CTN-GRANDEZZA- Apresentação Orçamento - R01.xlsx,Grandezza,Gran Tower,2384931.88,21230822.540000003,6245.48,11.233346590819366,381.86526576019776
Homeset\Homeset\CTN-HMS-HMG - Apresentação Orçamento - R01.xlsx,Homeset,Homeset,3275186.6,21873345.729972,,14.973413946052927,
Inbrasul\Aguas de Março\CTN-INB-AGM-Apresentação Orçamento - R03.xlsx,Inbrasul,Aguas de Março,7834510.59,24341958.32,,32.18521076655923,
Inbrasul\Opus\CTN-INB-OPS-Apresentação Orçamento - R05.xlsx,Inbrasul,Opus,5396049.23,16756730.409999996,,32.20227990765891,
Indepy\Stella Marina\CTN-IND-STL-Apresentação Orçamento - R01.xlsx,Indepy,Stella Marina,3402094.38,17285611.089999996,,19.681655235018948,
Macom\Adda\CTN-MACOM-ADD-Apresentação_Orçamento_R02.xlsx,Macom,Adda,1447037.29,13434812.160000002,4358.27,10.770804033333055,332.02102898627203
Macom\Villa Lobos\CTN-MACOM-VLB-Apresentação_Orçamento-R01.xlsx,Macom,Villa Lobos,1932826.48,17850373.278950002,6001.7,10.827933118235011,322.0465001582885
Muller Empreendimentos\Guanabara\CTN-ANM-GNB-Apresentação Orçamento - R02.xlsx,Muller Empreendimentos,Guanabara,1356858.91,14337198.41,,9.463905507882275,
Nobria\CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,Nobria,CTN-NBR-MBC - Apresentação Orçamento_R00.xlsx,5635455.61,42384127.48,12879.93,13.296146328974755,437.5377513697668
Parkside\Trindade\CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,Parkside,Trindade,1385750.363839311,16393699.823686412,3332.96,8.4529445991021,415.7716755794582
Pass-e\Belissimo\CTN-PAS-BEL-Apresentação Orçamento - R01.xlsx,Pass-e,Belissimo,3576946.78,30984116.579999994,,11.54445301277007,
Pass-e\Celebration\CTN-PAS-CLB- Apresentação Orçamento - R02.xlsx,Pass-e,Celebration,3271615.95,25046005.690000005,7956.14,13.062425963219525,411.2064330190268
Pass-e\Connect\CTN-PAS-CNC- Apresentação Orçamento - R01.xlsx,Pass-e,Connect,5368372.808971049,48836510.10815962,13144.27,10.992539796724952,408.419243439997
SAK Engenharia\CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,SAK Engenharia,CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,919095.17,6535457.04,1700.61,14.063211866816893,540.4502913660393
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,Thozen,Mirador de Alicante,5062193.474574975,35380193.77723375,10661.12,14.307986854024431,474.8275485666585
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,H Empreendimentos,Atlantia,3704814.2581239017,40420184.52353,12828.33,9.16575295683571,288.7994195755723
