idx,cliente,projeto,xlsx_name,path,aba_usada,total_gerenciamento_brl,grand_total_brl,ac_m2,prazo_meses,unidades_ur,pct_gerenciamento,rsm2_gerenciamento,observacoes,status,tempo_s,suspeito
1,Thozen,Mirador de Alicante,CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,ORÇAMENTO_EXECUTIVO,5062193.474574975,35380193.77723375,10661.12,,,14.31,474.83,,ok,40.4,
2,H Empreendimentos,Atlantia,CTN-H-ATL - Apresentação Orçamento - R02.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,3704814.2581239017,40420184.52353,12828.33,,,9.17,288.80,,ok,58.0,
3,Amalfi,Maiori,CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Maiori\CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,3318913.557107,25185732.852655,8366.5,,,13.18,396.69,,ok,56.7,
4,Amalfi,Marine,CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Marine\CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,2346985.5392969996,14107283.053041,4498.66,,,16.64,521.71,,ok,57.4,
5,Amalfi,Ravello,CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Ravello\CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,GER_EXECUTIVO,4746733.278634106,39313735.22500839,13434.29,,,12.07,353.33,,ok,35.6,
6,Amalfi,Tramonti,CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Tramonti\CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO - IMPREVIST,7713624.635108488,59955737.5767165,15602.85,,,12.87,494.37,,ok,33.2,
7,Viva4,Barra4,CTN_VV4-BR4 - Orçamento Final_R02.xls.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Viva4\Barra4\CTN_VV4-BR4 - Orçamento Final_R02.xls.xlsx,Ger_Executivo,,,,,,,,"It appears that the data you've provided is a detailed breakdown of construction costs for a project, organized into various categories such as cell structures (CÉLULA CONSTRUTIVA), stages (ETAPA), su",parse_falhou,130.3,
8,Viva4,Pio4,CTN_VV4-PIO4 - Orçamento_R00.xls - Entregável.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Viva4\Pio4\CTN_VV4-PIO4 - Orçamento_R00.xls - Entregável.xlsx,Ger_Executivo,,,,,,,,,erro_ollama: ReadTimeout,183.6,
9,XPCon,Marena,CTN_XPC_MRN - Orçamento Executivo_R02.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\XPCon\Marena\CTN_XPC_MRN - Orçamento Executivo_R02.xlsx,Ger_Executivo,,,,,,,,"It looks like you've provided a large table or grid of data, but it's not clear what this data represents. If you have any specific questions about the data or need help analyzing it in some way, plea",parse_falhou,75.0,
10,XPCon,Porto Cerro,CTN_XPC_Porto Cerro - Orçamento_R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\XPCon\Porto Cerro\CTN_XPC_Porto Cerro - Orçamento_R01.xlsx,Ger_Executivo,,,,,,,,"It looks like you've provided a large table or matrix of data, but it's not clear what this data represents or what kind of analysis or information you're seeking. Could you please provide more contex",parse_falhou,77.0,
11,WF,Aquarius,CTN_WF_AQUARIUS - Orçamento-R02.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\WF\Aquarius\CTN_WF_AQUARIUS - Orçamento-R02.xlsx,Ger_Executivo,,,,,,,,"It looks like you have a table with multiple rows, but the first column is showing ""REF!"" which typically indicates an error or reference issue in spreadsheet software like Excel. This suggests that t",parse_falhou,92.7,
12,Terrassa,Amaro,CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Terrassa\Amaro\CTN-TRS-AMR - Apresentação de Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,5614696.977615399,34406870.7328074,10479.34,,,16.32,535.79,,ok,37.2,
13,Somauma,Virgínia,CTN-SMU-VGN - Apresentação de Orçamento - R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Somauma\Virgínia\CTN-SMU-VGN - Apresentação de Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,,32518198.72102897,10108.43,,,,,Não foram encontrados valores para total_gerenciamento_brl e prazo_meses,ok,31.0,
14,Santo André,Lausanne,CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Santo André\Lausanne\CTN_STA_LAU - Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,9217026.59386067,116264185.01572447,26070.9,,,7.93,353.54,,ok,30.9,
15,Santo André,Belle Ville,CTN-STA-BVL - Orçamento_R01 - Entregavel.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Santo André\Belle Ville\CTN-STA-BVL - Orçamento_R01 - Entregavel.xlsx,Ger_Executivo,,,,,,,,,erro_ollama: ReadTimeout,182.9,
16,Adore,Cacupé,CTN-ADR-CCP- Orçamento Preliminar-R00.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Adore\Cacupé\CTN-ADR-CCP- Orçamento Preliminar-R00.xlsx,ORÇAMENTO,,,,,,,,,erro_ollama: ReadTimeout,182.3,
17,AJR,Spot One,CTN-AJR-TSO - Orçamento apresentação - R03.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\AJR\Spot One\CTN-AJR-TSO - Orçamento apresentação - R03.xlsx,Gerenciamento executivo,,,,,,,,"[ERRO] Abas não encontradas: ['Gerenciamento executivo']. Disponíveis: ['Gerenciamento executivo ', 'Executivo']",erro_leitura,,
18,ALL,Acácias JK,17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\ALL\Acácias JK\17_CTN_ALL_Acácias JK - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO,728402.3679733151,7433075.110573249,1943.23,,,9.80,374.84,,ok,45.8,
19,ARV,Ingleses Spot,CTN_ARV-SPT - Orçamento_R04.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\ARV\Ingleses Spot\CTN_ARV-SPT - Orçamento_R04.xlsx,Ger_Executivo,,,,,,,,,erro_ollama: ReadTimeout,182.7,
20,AS Ramos,Paessaggio,CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\AS Ramos\Paessaggio\CTN-ASR-PAE  - Apresentação Orçamento - R04.xlsx,ORÇAMENTO_EXECUTIVO,4316755.05,51217476.75,16348.1,,,8.43,264.05,,ok,35.5,
21,Be Brave,Meraki,CTN_BBV_MKR - Orçamento Executivo -R00.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Be Brave\Meraki\CTN_BBV_MKR - Orçamento Executivo -R00.xlsx,Ger_Executivo,,,,,,,,"It looks like you've shared a large table or grid of data, but it's not clear what this data represents. If you have any specific questions about the data or need help analyzing it in some way, please",parse_falhou,77.1,
22,Beco Castelo,Chateau de Versailes,CTN_BCT-CTM - Orçamento_R01.xlsx,G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Beco Castelo\Chateau de Versailes\CTN_BCT-CTM - Orçamento_R01.xlsx,GER EXECUTIVO,,,,,,,,"Based on the provided data, here is a summary of the key information:

1. The project appears to be a construction project with various phases and services.

2. There are 20 main sections (CÉLULA CONS",parse_falhou,174.9,
