path,cliente,projeto,xlsx_name,abas_encontradas,aba_gerenciamento_usada,total_gerenciamento,grand_total,ac_m2,pct_gerenciamento,rsm2_gerenciamento,status,erro
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Thozen\Mirador de Alicante\CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,Thozen,Mirador de Alicante,CTN-THO-MAT - Apresentação Orçamento - R03.xlsx,ORÇAMENTO_EXECUTIVO|VERSÕES|AREAS PRIVATIVAS|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS|COMPARAÇÕES,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\H Empreendimentos\Atlantia\CTN-H-ATL - Apresentação Orçamento - R02.xlsx,H Empreendimentos,Atlantia,CTN-H-ATL - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO|Comparação|Custo_Empreiteiro|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Maiori\CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,Amalfi,Maiori,CTN-ALF-MRI - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|AREAS PRIVATIVAS|CÁLCULO_MÉDIAS|COMPARAÇÕES|Planilha1,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Marine\CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,Amalfi,Marine,CTN-ALF-MRN - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO|AREAS PRIVATIVAS|ANÁLISE_CUSTOS|CÁLCULO_MÉDIAS|COMPARAÇÕES|Amalfi,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Ravello\CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,Amalfi,Ravello,CTN-ALF-RVL - Apresentação Orçamento RVL - R01.xlsx,Relatório|SEM IMPREVISTOS|ORÇAMENTO_EXECUTIVO - IMPREVIST|GER_EXECUTIVO|Versões|ANÁLISE_CUSTOS|AREAS PRIVATIVAS|CÁLCULO_MÉDIAS|Amalfi,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Tramonti\CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,Amalfi,Tramonti,CTN-ALF-TRM - Apresentação Orçamento - R04.xlsx,SEM IMPREVISTOS|ORÇAMENTO_EXECUTIVO - IMPREVIST|ANÁLISE_CUSTOS|Versões R01|GER_EXECUTIVO MEGA|Versões|GER_EXECUTIVO CART|Amalfi|Planilha1|Versões (2)|CÁLCULO_MÉDIAS|AREAS PRIVATIVAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Amalfi\Tramonti\CTN-ALF-TRM - Orçamento Executivo_R04xlsb.xlsx,Amalfi,Tramonti,CTN-ALF-TRM - Orçamento Executivo_R04xlsb.xlsx,NOVA EAP|EPCs|CANTEIRO|Cont.Tecnol.|BASES|Ger_Administrativo|Obra|HIDRAÚLICO|Ger_Executivo|CLIMATIZAÇÃO|Ger_Executivo MEGA|PCI|Gás|ELÉTRICA|Insumos|CPU|Arquitetura|MOBILIÁRIO|SANITÁRIO|INSTALAÇÕES COMPLEMENTARES,,,409253.4999999997,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Viva4\Barra4\CTN_VV4-BR4 - Orçamento Final_R02.xls.xlsx,Viva4,Barra4,CTN_VV4-BR4 - Orçamento Final_R02.xls.xlsx,Obra |EPCs|CANTEIRO|BASES|Ger_Tec e Adm|Ger_Executivo|ESQUADRIAS|ARQUITETURA|Composição|Louças e metais|MOBILIÁRIO|Supraestrutura|Fundação Rasa|Aço_Infraestrutura|CAIXA|Elétrica|Hidrossanitário|PPCI|Climatização|PISCINAS,CANTEIRO,52000.0,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Viva4\Barra4\CTN-VIV4-BAR4 - Apresentação Orçamento - R02.xlsx,Viva4,Barra4,CTN-VIV4-BAR4 - Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|AREAS PRIVATIVAS|CÁLCULO_MÉDIAS|COMPARAÇÃO ,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Viva4\Pio4\CTN_VV4-PIO4 - Orçamento_R00.xls - Entregável.xlsx,Viva4,Pio4,CTN_VV4-PIO4 - Orçamento_R00.xls - Entregável.xlsx,Obra |EPCs|CANTEIRO|Ger_Tec e Adm|Ger_Executivo|Empreiteiro|CPU|ELÉTRICA|MOBILIÁRIO|FECHADURA|Escoramento|ARQUITETURA|Fundação Profunda|CONTENÇÕES|PORTÕES|Telefone|SPDA|PCI|HIDROSSANITÁRIO|Climatização,,,,,,,ok,
