Alv,Clim,Cob,Compl,Esq,Fach,Ger,Imp,Imprev,Infra,Inst,Louças,Mov,Pint,Pisos,RevP,SistE,Supra,Teto,ac,padrao,rsm2_total,slug,total,ur
150.4076648683018,,33.81238179751178,293.9308509307686,344.23065533696445,136.63819298235597,366.8693856027832,85.45010292892195,,174.86364588448083,388.3662823835722,,17.89908640306375,114.71205711222287,,,179.87144293490445,595.8168228410564,67.83527803026557,11102.72,medio-alto,3628.6473667427395,adore-level-up,40287855.691681944,0
,30.59499158839695,13.848669364899166,,,179.74184776132313,583.0449180047815,,71.59696096568634,208.18333767919924,,37.96185284867761,8.762993823127125,,229.4008082395188,147.52046611499418,130.64817871432155,711.6260585561798,56.083913552049175,7055.73,medio-alto,7159.696096568636,all-lago-di-garda,50516882.53944222,0
1009.8444173201032,,129.68660223207547,2080.2814458734783,2047.6854879181042,1064.3162159499639,4498.659999999999,577.2128370027287,,2966.162751079593,2425.4666797920427,205.18190745693423,145.19893174376986,1230.6605415727545,1230.8859485240444,1407.881637665143,1481.2704074919582,4178.056735443433,362.13586593404955,521.7076950240738,medio-alto,27040.588413000176,amalfi-marine,14107283.053041,0
618.202323401686,,,153.7239877434373,1895.7931176793204,898.9454926303756,3120.0499999999997,443.2294212547143,,1392.017756834592,2068.318332890046,,136.2632621597257,421.52340900930676,915.9033058183107,1076.077893963477,594.434958109461,4381.080271405392,212.7255151698461,563.1398278873736,alto,18550.44524055448,brava-construtora-mar-a-vista,10446494.54,0
,,,,,,,,,,,,,,,,,,,27559.45,alto,5219.454392594918,colline-de-france-colline-de-france,143845292.36,0
,,,,,,,,,,,,,,,,,,,17505.56,medio-alto,3483.98212110895,cota-365,60989058.06,0
,,,,,,,,,,,,,,,,,,,21215.27,alto,4345.323953925639,dimas-pb2,92187220.92,0
,,,,,,,,,,,,,,,,,,,23967.18,medio-alto,358.34941574269476,estilo-condominios-estilo-condominios,8588624.95,0
,,,,,,,,,,,,,,,,,,,4617.34,alto,4196.733822937015,etr-zion-meridian-tower,19377746.95,0
,,,,,,,,,,,,,,,,,,,27247.73,medio-alto,2634.0738215623837,f-nogueira-soberano,71772532.29,0
,,,,,,,,,,,,,,,,,,,37483.31,medio-alto,2549.0990560865625,f-nogueira-wpr,95548670.14,0
,,,,,,,,,,,,,,,,,,,42277.77,alto,4888.479275042179,fg-scenarium,206674002.44,0
167.52267577490807,,17.971919410339353,126.72641064230001,312.4142636472992,,531.9170505045547,70.77174536092376,,160.26218854969807,422.59570853627037,27.594586619633752,16.06782730111307,139.12631555419662,,,111.00100967284433,709.9729133415158,,14491.98,medio-alto,3378.4463605743076,fonseca-empreendimentos-estoril,48960377.088515654,110
,,,,,,,,,,,,,,,,,,,8518.6,medio-alto,4346.60923038997,gdi-playa-negra,37027025.39,0
,,,,,,,,,,,,,,,,,,,7374.18,medio-alto,3481.8321237073137,gmf-moradas-do-atalaia,25675656.81,0
