slug,padrao,ac,ur,total_mi,rsm2,ACABAMENTOS DE FACHADA,ACABAMENTOS EM PISO E PAREDE,ACABAMENTOS EM PISOS E PAVIMENTAÇÕES,ACABAMENTOS INTERNOS EM PAREDE,ACABAMENTOS INTERNOS EM TETO,ALVENARIA,ALVENARIA E VEDAÇÕES,ALVENARIA ESTRUTURAL,ALVENARIA | VEDAÇÕES | DIVISÓRIAS,AUTOMAÇÃO E SISTEMAS LÓGICOS E TELECOMUNICAÇÃO,CLIMATIZAÇÃO,CLIMATIZAÇÃO E EXAUSTÃO,"CLIMATIZAÇÃO, EXAUSTÃO MECÂNICA E PRESSURIZAÇÃO",COBERTURA,CONTENÇÃO,CONTENÇÕES E ARRIMOS,CONTENÇÕES E FUNDAÇÕES,EQUIPAMENTOS,EQUIPAMENTOS E SISTEMAS ESPECIAIS,"ESQUADRIAS (METÁLICAS, VIDRO E MADEIRA)",ESQUADRIAS - VIDROS E FERRAGENS,"ESQUADRIAS, VIDROS E FERRAGENS",FORROS,FUNDAÇÃO RASA,GERENCIAMENTO ADMINISTRATIVO,GERENCIAMENTO EXECUTIVO,GERENCIAMENTO TÉCNICO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,IMPERMEABILIZAÇÃO,IMPERMEABILIZAÇÃO E TRATAMENTOS,IMPREVISTOS,IMPREVISTOS E CONTINGENCIAS,IMPREVISTOS E CONTINGÊNCIAS,INFRAESTRUTURA,INFRAESTRUTURA EXTERNA | MOBILIÁRIO ÁREAS COMUNS | DECORAÇÃO | PAISAGISMO,INSTALAÇÕES CLIMATIZAÇÃO E EXAUSTÃO,INSTALAÇÕES COMPLEMENTARES,INSTALAÇÕES DE COMUNICAÇÕES,INSTALAÇÕES ELÉTRICAS,INSTALAÇÕES ELÉTRICAS E TELEFÔNICAS,"INSTALAÇÕES ELÉTRICAS, HIDROSSANITÁRIAS, PREVENTIVAS E GLP","INSTALAÇÕES ELÉTRICAS, HIDRÁULICAS, GLP E PREVENTIVAS",INSTALAÇÕES ESPECIAIS,INSTALAÇÕES GLP,INSTALAÇÕES HIDROSSANITÁRIAS,INSTALAÇÕES HIDRÁULICAS,INSTALAÇÕES PREVENTIVAS,INSTALAÇÕES PREVENTIVAS E GLP,INSTALAÇÕES PREVENTIVO (PCI | SPDA),LOUÇAS E METAIS,MOVIMENTAÇÃO DE TERRA,OUTROS SISTEMAS ESPECIAIS,PAREDES E PAINÉIS,PINTURA DE FACHADA,PINTURA INTERNA,PINTURAS,PISOS E PAVIMENTAÇÕES,REVESTIMENTOS ARGAMASSADOS DE FACHADA,REVESTIMENTOS ARGAMASSADOS PAREDE,REVESTIMENTOS ARGAMASSADOS PISO,REVESTIMENTOS ARGAMASSADOS TETO,REVESTIMENTOS CERÂMICOS,REVESTIMENTOS COMPLEMENTARES,REVESTIMENTOS DE ARGAMASSA,REVESTIMENTOS E ACABAMENTOS DE FACHADA,REVESTIMENTOS E ACABAMENTOS INTERNOS EM TETO,REVESTIMENTOS INTERNOS DE PAREDE,REVESTIMENTOS INTERNOS EM PISO E PAREDE,SERVIÇOS COMPLEMENTARES,SERVIÇOS COMPLEMENTARES E FINAIS,SISTEMAS DE PINTURA INTERNA,SISTEMAS E INSTALAÇÕES ELÉTRICAS,SISTEMAS E INSTALAÇÕES HIDROSSANITÁRIAS E DRENAGEM,SISTEMAS E INSTALAÇÕES HIDROSSANITÁRIAS | DRENAGEM,SUPRAESTRUTURA
all-lago-di-garda,medio-alto,7055.73,0,50.51688253944222,7159.696096568636,,,,,,,,,157.31379763156266,,30.59499158839695,,,13.848669364899166,,,,,130.64817871432155,,268.67718039088766,,,,390.7081272061613,2996.8031302795366,192.33679079862017,583.0449180047815,,47.43290186061542,,,71.59696096568634,208.18333767919924,,,,16.50000014172878,,,,,,,,,20.900000708643898,,,37.96185284867761,8.762993823127125,,,,,,229.4008082395188,,,,,,,,179.74184776132313,56.083913552049175,147.52046611499418,,,247.42958673305242,153.47431809706407,146.05263275380435,,113.05263275380435,711.6260585561798
amalfi-maiori,alto,8366.5,0,25.185732852655,3010.30692077392,,,,,,,,,,,,,,14.756748114504274,,,,,134.73731787485806,,,334.0973927934023,,,,,,396.6907974788741,64.5279670961573,,,,,176.6177448471882,,,,,,,,295.45928883045485,,,,,,,,24.54625403693301,7.370661508157535,,114.48087139425088,,136.6784480726708,,133.46558079352178,,,,,,,,149.25161919082052,57.70168891077512,196.03000587653145,,181.8946835713859,,,,,,591.9998503834339
amalfi-marine,medio-alto,4498.66,0,14.107283053041,3135.8855866060117,,,,,,,,,,,,,,15.039700338767545,,,,,171.7823018409927,,,237.46921884205523,,,,,,521.7076950240737,66.93912825841474,,,,,343.9846380771163,,,,,,,,281.280343673894,,,,,,,,23.79485891354314,16.838658622789897,,117.11122940897955,,142.71918182325408,,142.74532217193564,,,,,,,,123.42830082735749,41.99674300836249,163.27143728421353,,241.2493582817995,,,,,,484.52747020846215
as-ramos-paessaggio,medio-alto,264052.4,0,34.2840203225,129.8379424784626,,7.9006791833742085,,,,2.842903719110298,,,,,,,,0.6215015277270725,,,,,14.173820272036915,,,15.445115287723194,,,,,,16.348100036204933,1.309973437090517,,,3.020934509589763,,8.907224172171887,,,,,,,,8.188821158224656,,,,,,,,,1.6416231399525245,,,,2.222840958839988,,,,,,,,,,10.337797497769383,2.9854177807132216,,3.8080474178610006,6.583828228790954,,,,,,23.499314151282093
fonseca-empreendimentos-estoril,medio-alto,14491.98,110,48.960377088515656,3378.4463605743076,181.16596552597022,,68.89362225327389,27.207546591287038,33.11606281543309,167.52267577490807,,,,,,,42.28550873241614,17.971919410339353,10.949888585183686,,,,111.00100967284433,,,312.4142636472992,,,,,,531.9170505045547,70.77174536092376,,44.5292291734873,,,160.26218854969807,,,,,,,,422.59570853627037,22.31644794045008,,,,,,,27.594586619633752,16.06782730111307,,,39.45756801408504,139.12631555419662,,,38.09947557088776,20.61988472722499,31.310610862071076,4.549934866940197,,,,,,,,126.72641064230001,,,,,,709.9729133415158
mendes-empreendimentos-brava-mundo,alto,4811.54,0,20.149157700000004,4187.673322886229,,227.52797648985563,,,,151.59455600493814,,,,65.60983593610361,,124.64169891552393,,,,133.20609617710753,,,133.01354659838637,,,553.955263803273,,,,,,687.7245019266181,61.96016244279378,,,,,182.91417300905738,,,,,,,,,,,,,,41.54724682741908,,,93.33809965208644,,,,87.26550750903037,,,,,,,,,,154.53050582557768,59.02326697897139,,99.41917140873817,,82.14045191352457,,282.44525453389144,189.66365030738598,,776.1523566259451
nova-empreendimentos-evora,alto,3477.2,0,21.29130416,6123.117496836536,,,,,,,,,188.35,,27.98,,,,,,,,62.85,,485.35,,,,,,,2763.6,,103.69,,,,276.0,,,,,234.75,,,,,,124.56,,13.06,,,24.29,67.18,,,,,,156.47,,,,,,,,54.94,26.3,425.61,,,307.34,116.62,,,,664.17
nova-empreendimentos-malaga,alto,4430.32,0,23.24453272,5246.693855071417,,,,,,,,,198.8,,24.26,,,,,,,,71.52,,287.35,,,,,,,1715.95,,107.51,,,,227.57,,,,,202.55,,,,,,175.71,,13.6,,,26.18,78.29,,,,,,180.16,,,,,,,,65.34,37.62,444.62,,,547.62,124.98,,,,717.06
nova-empreendimentos-malta,alto,7964.39,0,48.5116448,6091.0684685205015,,,,,,,,,222.79,,81.45,,,,,,,,73.7,,413.44,,,,,,,2419.66,,125.91,,,,323.96,,,,29.5,168.7,,,,,,201.65,,,,,28.68,68.81,,,,,,204.27,,,,,,,,25.71,75.73,414.43,,,233.15,124.88,,,,854.66
paludo-barbados,medio-alto,1728.35,0,4.80713602,2781.344068041774,,114.6,,,,,,,57.21,,,,,17.83,,,,,156.1,,256.91,,,,,,,940.36,,64.42,,,,103.67,,,,,,,,159.26,,,,,,,,,17.84,,,,,,,,,,,,,,87.63,46.59,,114.58,,111.54,128.02,,,,404.78
