disciplina,extensao,tamanho_mb,modificado_em,arquivo_relativo
_Compactadas,.zip,8.173,2026-06-09T10:39:38,_Compactadas\ARQ - PDF.zip
_Compactadas,.zip,34.185,2026-06-09T10:39:50,_Compactadas\ARQ-DWG.zip
_Compactadas,.zip,21.546,2026-06-09T10:49:10,_Compactadas\CLI.zip
_Compactadas,.zip,84.159,2026-06-09T10:49:09,_Compactadas\ELE.zip
_Compactadas,.zip,34.204,2026-06-09T10:40:13,_Compactadas\EST-PDF.zip
_Compactadas,.zip,310.156,2026-06-09T10:42:52,_Compactadas\EST.zip
_Compactadas,.zip,15.349,2026-06-09T10:49:09,_Compactadas\ETE.zip
_Compactadas,.zip,4.089,2026-06-09T10:41:06,_Compactadas\FUND.zip
_Compactadas,.zip,296.959,2026-06-09T10:52:34,_Compactadas\HID.zip
_Compactadas,.zip,254.627,2026-06-09T10:52:38,_Compactadas\INT.zip
_Compactadas,.zip,14.318,2026-06-09T10:50:00,_Compactadas\PAISAGISMO.zip
_Compactadas,.zip,46.4,2026-06-09T10:51:23,_Compactadas\PCI.zip
_Compactadas,.zip,8.852,2026-06-09T10:49:58,_Compactadas\PISCINA.zip
_Compactadas,.zip,3.696,2026-06-09T10:50:24,_Compactadas\SPDA.zip
_Compactadas,.zip,31.078,2026-06-09T10:54:16,_Compactadas\TEL.zip
ARQ,.ifc,838.532,2026-06-09T10:46:12,ARQ\AMS_FLOW_ARQ_AP_001_MOD_IFC_R13.ifc
ARQ,.dwg,3.322,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_000_PIL_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,1.363,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_000_PIL_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.798,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_001_PAV_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,2.72,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_001_PAV_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.82,2026-06-09T13:39:58,ARQ\DWG\AMS_FLOW_ARQ_AP_002_PAV_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,2.665,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_002_PAV_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.798,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_003_PAV_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,2.72,2026-06-09T13:39:58,ARQ\DWG\AMS_FLOW_ARQ_AP_003_PAV_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.68,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_004_INT_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,2.446,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_004_INT_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.059,2026-06-09T13:39:58,ARQ\DWG\AMS_FLOW_ARQ_AP_005_COB_PLANTA_BAIXA_R11.dwg
ARQ,.dwg,1.771,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_005_COB_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,1.766,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_006_BAR_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,1.39,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_006_BAR_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,2.059,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_006_DOC_COBERTURA_R11.dwg
ARQ,.dwg,1.864,2026-06-09T13:39:56,ARQ\DWG\AMS_FLOW_ARQ_AP_007_RES_PLANTA_BAIXA_R12.dwg
ARQ,.dwg,1.477,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_007_RES_PLANTA_BAIXA_R13.dwg
ARQ,.dwg,4.114,2026-06-09T13:39:58,ARQ\DWG\AMS_FLOW_ARQ_AP_008_COR_CORTE_R12.dwg
ARQ,.dwg,4.114,2026-06-09T13:39:54,ARQ\DWG\AMS_FLOW_ARQ_AP_008_COR_CORTE_R13.dwg
ARQ,.pdf,0.719,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_000_PIL_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,1.113,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_001_PAV_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,1.03,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_002_PAV_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,0.984,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_003_PAV_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,0.77,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_004_INT_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,0.464,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_005_COB_PLANTA_BAIXA_R11.pdf
ARQ,.pdf,0.297,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_006_BAR_PLANTA_BAIXA_R12.pdf
ARQ,.pdf,3.544,2026-06-09T13:39:46,ARQ\PDF\AMS_FLOW_ARQ_AP_008_COR_CORTE_R12.pdf
CLI,.dwg,0.256,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_001_TER_PLANTA_BAIXA_R01.dwg
CLI,.dwg,1.728,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_002_PAV_PLANTA_BAIXA_R01.dwg
CLI,.dwg,1.37,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_003_PAV_PLANTA_BAIXA_R01.dwg
CLI,.dwg,0.841,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_004_PAV_PLANTA_BAIXA_R01.dwg
CLI,.dwg,0.717,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_005_INT_PLANTA_BAIXA_R01.dwg
CLI,.dwg,0.647,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_006_COB_PLANTA_BAIXA_R01.dwg
CLI,.dwg,0.276,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_007_RES_PLANTA_BAIXA_R01.dwg
CLI,.dwg,0.7,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_01_TER_PLANTA BAIXA_R00.dwg
CLI,.dwg,2.029,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_02_1PAV_PLANTA BAIXA_R00.dwg
CLI,.dwg,1.378,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_03_2PAV_PLANTA BAIXA_R00.dwg
CLI,.dwg,0.832,2026-06-09T13:47:08,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_04_3PAV_PLANTA BAIXA_R00.dwg
CLI,.dwg,0.707,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_05_INT_PLANTA BAIXA_R00.dwg
CLI,.dwg,0.609,2026-06-09T13:47:08,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_06_COB_PLANTA BAIXA_R00.dwg
CLI,.dwg,0.466,2026-06-09T13:47:08,CLI\030 - EP - Estudo Preliminar\DWG\AMS_FLOW_CLI_EP_07_RES_PLANTA BAIXA_R00.dwg
CLI,.pdf,1.787,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_001_TER_PLANTA_BAIXA_R01.pdf
CLI,.pdf,2.479,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_002_PAV_PLANTA_BAIXA_R01.pdf
CLI,.pdf,1.892,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_003_PAV_PLANTA_BAIXA_R01.pdf
CLI,.pdf,1.994,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_004_PAV_PLANTA_BAIXA_R01.pdf
CLI,.pdf,1.606,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_005_INT_PLANTA_BAIXA_R01.pdf
CLI,.pdf,1.525,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_006_COB_PLANTA_BAIXA_R01.pdf
CLI,.pdf,0.648,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_007_RES_PLANTA_BAIXA_R01.pdf
CLI,.pdf,1.987,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_01_TER_PLANTA BAIXA_R00.pdf
CLI,.pdf,2.43,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_02_1PAV_PLANTA BAIXA_R00.pdf
CLI,.pdf,1.845,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_03_2PAV_PLANTA BAIXA_R00.pdf
CLI,.pdf,1.944,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_04_3PAV_PLANTA BAIXA_R00.pdf
CLI,.pdf,1.562,2026-06-09T13:47:10,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_05_INT_PLANTA BAIXA_R00.pdf
CLI,.pdf,1.474,2026-06-09T13:47:12,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_06_COB_PLANTA BAIXA_R00.pdf
CLI,.pdf,0.618,2026-06-09T13:47:08,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_07_RES_PLANTA BAIXA_R00.pdf
CLI,.pdf,0.195,2026-06-09T13:47:08,CLI\030 - EP - Estudo Preliminar\PDF\AMS_FLOW_CLI_EP_DOC_ESTUDO PRELIMINAR_R00.pdf
ELETRICA,.dwg,1.911,2026-06-09T13:47:22,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_001_TER_PLANTA_BAIXA_R00.dwg
ELETRICA,.dwg,2.27,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_001_TER_PLANTA_BAIXA_R01.dwg
ELETRICA,.dwg,3.884,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_002_PAV_PLANTA_BAIXA_R00.dwg
ELETRICA,.dwg,2.99,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_002_PAV_PLANTA_BAIXA_R01.dwg
ELETRICA,.dwg,3.289,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_003_PAV_PLANTA_BAIXA_R00.dwg
ELETRICA,.dwg,2.829,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_003_PAV_PLANTA_BAIXA_R01.dwg
ELETRICA,.dwg,2.035,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_004_PAV_PLANTA_BAIXA_R00.dwg
ELETRICA,.dwg,2.331,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_004_PAV_PLANTA_BAIXA_R01.dwg
ELETRICA,.dwg,1.468,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_005_BAR_PLANTA_BAIXA_R00.dwg
ELETRICA,.dwg,1.831,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\DWG\AMS_FLOW_ELE_AP_005_BAR_PLANTA_BAIXA_R01.dwg
ELETRICA,.ifc,99.61,2026-06-09T13:47:32,ELETRICA\040 - AP - Anteprojeto\IFC\AMS_FLOW_ELE_AP_001_MOD_IFC_R00.ifc
ELETRICA,.ifc,107.703,2026-06-09T13:47:38,ELETRICA\040 - AP - Anteprojeto\IFC\AMS_FLOW_ELE_AP_001_MOD_IFC_R01.ifc
ELETRICA,.pdf,8.486,2026-06-09T13:47:28,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_001_TER_PLANTA_BAIXA_R00.pdf
ELETRICA,.pdf,8.851,2026-06-09T13:47:28,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_001_TER_PLANTA_BAIXA_R01.pdf
ELETRICA,.pdf,4.656,2026-06-09T13:47:28,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_002_PAV_PLANTA_BAIXA_R00.pdf
ELETRICA,.pdf,4.435,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_002_PAV_PLANTA_BAIXA_R01.pdf
ELETRICA,.pdf,3.956,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_003_PAV_PLANTA_BAIXA_R00.pdf
ELETRICA,.pdf,3.685,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_003_PAV_PLANTA_BAIXA_R01.pdf
ELETRICA,.pdf,4.303,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_004_PAV_PLANTA_BAIXA_R00.pdf
ELETRICA,.pdf,3.54,2026-06-09T13:47:26,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_004_PAV_PLANTA_BAIXA_R01.pdf
ELETRICA,.pdf,2.472,2026-06-09T13:47:24,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_005_BAR_PLANTA_BAIXA_R00.pdf
ELETRICA,.pdf,2.554,2026-06-09T13:47:22,ELETRICA\040 - AP - Anteprojeto\PDF\AMS_FLOW_ELE_AP_005_BAR_PLANTA_BAIXA_R01.pdf
EST,.dwg,0.29,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_001_TER_FORMA DO PISO DO TÉRREO (BLOCO A)_R01.dwg
EST,.dwg,0.33,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_002_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO A)_R01.dwg
EST,.dwg,0.359,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_002_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO A)_R02.dwg
EST,.dwg,0.246,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_003_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO A)_R01.dwg
EST,.dwg,0.304,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_003_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO A)_R02.dwg
EST,.dwg,0.284,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_004_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO A)_R01.dwg
EST,.dwg,0.32,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_004_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO A)_R02.dwg
EST,.dwg,0.299,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_005_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO A)_R01.dwg
EST,.dwg,0.352,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_005_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO A)_R02.dwg
EST,.dwg,0.33,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_006_COB_FORMA DO PISO DA COBERTURA (BLOCO A)_R01.dwg
EST,.dwg,0.346,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_006_COB_FORMA DO PISO DA COBERTURA (BLOCO A)_R02.dwg
EST,.dwg,0.255,2026-06-09T13:40:26,"EST\DWG\AMS_FLOW_EST_AP_007_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO A)_R01.dwg"
EST,.dwg,0.277,2026-06-09T13:40:26,"EST\DWG\AMS_FLOW_EST_AP_007_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO A)_R02.dwg"
EST,.dwg,0.251,2026-06-09T13:40:26,"EST\DWG\AMS_FLOW_EST_AP_007_BAR_FORMA DO PISO DO BARRILETE, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO A)_R02.dwg"
EST,.dwg,0.285,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_008_TER_FORMA DO PISO DO TÉRREO (BLOCO B)_R01.dwg
EST,.dwg,0.341,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_009_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO B)_R01.dwg
EST,.dwg,0.315,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_009_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO B)_R02.dwg
EST,.dwg,0.277,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_010_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO B)_R01.dwg
EST,.dwg,0.284,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_010_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO B)_R02.dwg
EST,.dwg,0.312,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_011_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO B)_R01.dwg
EST,.dwg,0.313,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_011_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO B)_R02.dwg
EST,.dwg,0.326,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_012_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO B)_R01.dwg
EST,.dwg,0.334,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_012_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO B)_R02.dwg
EST,.dwg,0.343,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_013_COB_FORMA DO PISO DA COBERTURA (BLOCO B)_R01.dwg
EST,.dwg,0.34,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_013_COB_FORMA DO PISO DA COBERTURA (BLOCO B)_R02.dwg
EST,.dwg,0.285,2026-06-09T13:40:26,"EST\DWG\AMS_FLOW_EST_AP_014_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO B)_R01.dwg"
EST,.dwg,0.28,2026-06-09T13:40:26,"EST\DWG\AMS_FLOW_EST_AP_014_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO B)_R02.dwg"
EST,.dwg,0.255,2026-06-09T13:40:28,"EST\DWG\AMS_FLOW_EST_AP_014_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO B)_R03.dwg"
EST,.dwg,0.276,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_015_TER_FORMA DO PISO DO TÉRREO (BLOCO C)_R01.dwg
EST,.dwg,0.246,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_016_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO C)_R01.dwg
EST,.dwg,0.339,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_016_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO C)_R02.dwg
EST,.dwg,0.193,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_017_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO C)_R01.dwg
EST,.dwg,0.305,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_017_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO C)_R02.dwg
EST,.dwg,0.224,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_018_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO C)_R01.dwg
EST,.dwg,0.329,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_018_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO C)_R02.dwg
EST,.dwg,0.238,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_019_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO C)_R01.dwg
EST,.dwg,0.343,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_019_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO C)_R02.dwg
EST,.dwg,0.334,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_020_COB_FORMA DO PISO DA COBERTURA (BLOCO C)_R01.dwg
EST,.dwg,0.252,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_020_COB_FORMA DO PISO DA COBERTURA (BLOCO C)_R02.dwg
EST,.dwg,0.278,2026-06-09T13:40:28,"EST\DWG\AMS_FLOW_EST_AP_021_BAR_FORMA DO PISO DO BARRILETE,  FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO C)_R02.dwg"
EST,.dwg,0.188,2026-06-09T13:40:24,"EST\DWG\AMS_FLOW_EST_AP_021_BAR_FORMA DO PISO DO BARRILETE, CASA DE MÁQUINAS, FUNDO E TAMPA DA CAIXA D'ÁGUA (BLOCO C)_R01.dwg"
EST,.dwg,0.275,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_022_TER_FORMA DO PISO DO TÉRREO (BLOCO D)_R01.dwg
EST,.dwg,0.304,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_023_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO D)_R01.dwg
EST,.dwg,0.307,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_023_1PAV_FORMA DO PISO DO 1º TIPO (BLOCO D)_R02.dwg
EST,.dwg,0.273,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_024_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO D)_R01.dwg
EST,.dwg,0.293,2026-06-09T13:40:28,EST\DWG\AMS_FLOW_EST_AP_024_2PAV_FORMA DO PISO DO 2º TIPO (BLOCO D)_R02.dwg
EST,.dwg,0.289,2026-06-09T13:40:24,EST\DWG\AMS_FLOW_EST_AP_025_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO D)_R01.dwg
EST,.dwg,0.305,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_025_3PAV_FORMA DO PISO DO 3º TIPO (BLOCO D)_R02.dwg
EST,.dwg,0.297,2026-06-09T13:40:26,EST\DWG\AMS_FLOW_EST_AP_026_INT_FORMA DO PISO DO INTERMEDIÁRIO (BLOCO D)_R01.dwg
