grupo;row_extracao;descricao_original;dimensao;desc_final_cadastrada;unidade;qtd;pu;chave_norm;codigo_insumo;status
Instalações de água fria;8;Adaptador Longo com Flanges Livres;50ø;Adaptador Longo com Flanges Livres 50ø;un;8.0;45.0;adaptador longo com flanges livres 50ø||un;50113;novo
Instalações de água fria;9;Adaptador Longo com Flanges Livres;60ø;Adaptador Longo com Flanges Livres 60ø;un;8.0;45.0;adaptador longo com flanges livres 60ø||un;50114;novo
Instalações de água fria;10;Adaptador Longo com Flanges Livres;75ø;Adaptador Longo com Flanges Livres 75ø;un;4.0;45.0;adaptador longo com flanges livres 75ø||un;50115;novo
Instalações de água fria;11;Adaptador Longo com Flanges Livres;90ø;Adaptador Longo com Flanges Livres 90ø;un;4.0;45.0;adaptador longo com flanges livres 90ø||un;50116;novo
Instalações de água fria;12;Adaptador Soldável Curto, PVC Marrom, Água Fria;"25ø-3/4""";"Adaptador Soldável Curto, PVC Marrom, Água Fria 25ø-3/4""";un;2280.0;4.08;"adaptador soldavel curto, pvc marrom, agua fria 25ø-3/4""||un";50117;novo
Instalações de água fria;13;Adaptador Soldável Curto, PVC Marrom, Água Fria;"32ø-1""";"Adaptador Soldável Curto, PVC Marrom, Água Fria 32ø-1""";un;195.0;4.08;"adaptador soldavel curto, pvc marrom, agua fria 32ø-1""||un";50118;novo
Instalações de água fria;14;Adaptador Soldável Curto, PVC Marrom, Água Fria;"50ø-1 1/2""";"Adaptador Soldável Curto, PVC Marrom, Água Fria 50ø-1 1/2""";un;35.0;4.08;"adaptador soldavel curto, pvc marrom, agua fria 50ø-1 1/2""||un";50119;novo
Instalações de água fria;15;Bucha de Redução Soldável Curta, PVC Marrom, Água Fria;32ø-25ø;Bucha de Redução Soldável Curta, PVC Marrom, Água Fria 32ø-25ø;un;485.0;1.66;bucha de reducao soldavel curta, pvc marrom, agua fria 32ø-25ø||un;50120;novo
Instalações de água fria;16;Bucha de Redução Soldável Curta, PVC Marrom, Água Fria;40ø-32ø;Bucha de Redução Soldável Curta, PVC Marrom, Água Fria 40ø-32ø;un;5.0;1.66;bucha de reducao soldavel curta, pvc marrom, agua fria 40ø-32ø||un;50121;novo
Instalações de água fria;17;Bucha de Redução Soldável Longa, PVC Marrom, Água Fria;50ø-40ø;Bucha de Redução Soldável Longa, PVC Marrom, Água Fria 50ø-40ø;un;30.0;2.5;bucha de reducao soldavel longa, pvc marrom, agua fria 50ø-40ø||un;50122;novo
Instalações de água fria;18;Bucha de Redução Soldável Longa, PVC Marrom, Água Fria;50ø-32ø;Bucha de Redução Soldável Longa, PVC Marrom, Água Fria 50ø-32ø;un;50.0;2.5;bucha de reducao soldavel longa, pvc marrom, agua fria 50ø-32ø||un;50123;novo
Instalações de água fria;19;Curva de Transposição Soldável, PVC Marrom, Água Fria;25ø-25ø;Curva de Transposição Soldável, PVC Marrom, Água Fria 25ø-25ø;un;1075.0;9.8;curva de transposicao soldavel, pvc marrom, agua fria 25ø-25ø||un;50124;novo
Instalações de água fria;20;Curva de Transposição Soldável, PVC Marrom, Água Fria;32ø-32ø;Curva de Transposição Soldável, PVC Marrom, Água Fria 32ø-32ø;un;255.0;9.8;curva de transposicao soldavel, pvc marrom, agua fria 32ø-32ø||un;50125;novo
Instalações de água fria;21;Joelho 45º Soldável, PVC Marrom, Água Fria;25ø-25ø;Joelho 45º Soldável, PVC Marrom, Água Fria 25ø-25ø;un;1045.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 25ø-25ø||un;50126;novo
Instalações de água fria;22;Joelho 45º Soldável, PVC Marrom, Água Fria;32ø-32ø;Joelho 45º Soldável, PVC Marrom, Água Fria 32ø-32ø;un;220.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 32ø-32ø||un;50127;novo
Instalações de água fria;23;Joelho 45º Soldável, PVC Marrom, Água Fria;40ø-40ø;Joelho 45º Soldável, PVC Marrom, Água Fria 40ø-40ø;un;10.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 40ø-40ø||un;50128;novo
Instalações de água fria;24;Joelho 45º Soldável, PVC Marrom, Água Fria;50ø-50ø;Joelho 45º Soldável, PVC Marrom, Água Fria 50ø-50ø;un;15.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 50ø-50ø||un;50129;novo
Instalações de água fria;25;Joelho 45º Soldável, PVC Marrom, Água Fria;60ø-60ø;Joelho 45º Soldável, PVC Marrom, Água Fria 60ø-60ø;un;15.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 60ø-60ø||un;50130;novo
Instalações de água fria;26;Joelho 45º Soldável, PVC Marrom, Água Fria;75ø-75ø;Joelho 45º Soldável, PVC Marrom, Água Fria 75ø-75ø;un;5.0;1.2;joelho 45º soldavel, pvc marrom, agua fria 75ø-75ø||un;50131;novo
Instalações de água fria;27;Joelho 90° Redução Soldável, PVC Marrom, Água Fria;32ø-25ø;Joelho 90° Redução Soldável, PVC Marrom, Água Fria 32ø-25ø;un;10.0;1.5;joelho 90° reducao soldavel, pvc marrom, agua fria 32ø-25ø||un;50132;novo
Instalações de água fria;28;Joelho 90° Roscável, PVC Marrom, Água Fria;25ø-25ø;Joelho 90° Roscável, PVC Marrom, Água Fria 25ø-25ø;un;195.0;2.5;joelho 90° roscavel, pvc marrom, agua fria 25ø-25ø||un;50133;novo
Instalações de água fria;29;Joelho 90º Soldável - Bucha Latão, PVC Marrom, Água Fria;"25ø-1/2""";"Joelho 90º Soldável - Bucha Latão, PVC Marrom, Água Fria 25ø-1/2""";un;2915.0;4.5;"joelho 90º soldavel - bucha latao, pvc marrom, agua fria 25ø-1/2""||un";50134;novo
Instalações de água fria;30;Joelho 90º Soldável, PVC Marrom, Água Fria;25ø-25ø;Joelho 90º Soldável, PVC Marrom, Água Fria 25ø-25ø;un;7545.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 25ø-25ø||un;50135;novo
Instalações de água fria;31;Joelho 90º Soldável, PVC Marrom, Água Fria;32ø-32ø;Joelho 90º Soldável, PVC Marrom, Água Fria 32ø-32ø;un;1550.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 32ø-32ø||un;50136;novo
Instalações de água fria;32;Joelho 90º Soldável, PVC Marrom, Água Fria;40ø-40ø;Joelho 90º Soldável, PVC Marrom, Água Fria 40ø-40ø;un;20.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 40ø-40ø||un;50137;novo
Instalações de água fria;33;Joelho 90º Soldável, PVC Marrom, Água Fria;50ø-50ø;Joelho 90º Soldável, PVC Marrom, Água Fria 50ø-50ø;un;25.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 50ø-50ø||un;50138;novo
Instalações de água fria;34;Joelho 90º Soldável, PVC Marrom, Água Fria;60ø-60ø;Joelho 90º Soldável, PVC Marrom, Água Fria 60ø-60ø;un;20.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 60ø-60ø||un;50139;novo
Instalações de água fria;35;Joelho 90º Soldável, PVC Marrom, Água Fria;75ø-75ø;Joelho 90º Soldável, PVC Marrom, Água Fria 75ø-75ø;un;10.0;0.78;joelho 90º soldavel, pvc marrom, agua fria 75ø-75ø||un;50140;novo
Instalações de água fria;36;Joelho 90º Soldável/Roscável, PVC Marrom, Água Fria;"25ø-1/2""";"Joelho 90º Soldável/Roscável, PVC Marrom, Água Fria 25ø-1/2""";un;365.0;3.5;"joelho 90º soldavel/roscavel, pvc marrom, agua fria 25ø-1/2""||un";50141;novo
Instalações de água fria;37;Luva Soldável, PVC Marrom, Água Fria;75ø-75ø;Luva Soldável, PVC Marrom, Água Fria 75ø-75ø;un;5.0;2.5;luva soldavel, pvc marrom, agua fria 75ø-75ø||un;50142;novo
Instalações de água fria;38;Luva Soldável/Roscável, PVC Marrom, Água Fria;"25ø-3/4""";"Luva Soldável/Roscável, PVC Marrom, Água Fria 25ø-3/4""";un;660.0;2.5;"luva soldavel/roscavel, pvc marrom, agua fria 25ø-3/4""||un";50143;novo
Instalações de água fria;39;Luva Soldável/Roscável, PVC Marrom, Água Fria;"32ø-1""";"Luva Soldável/Roscável, PVC Marrom, Água Fria 32ø-1""";un;395.0;2.5;"luva soldavel/roscavel, pvc marrom, agua fria 32ø-1""||un";50144;novo
Instalações de água fria;40;Luva Soldável/Roscável, PVC Marrom, Água Fria;"40ø-1 1/4""";"Luva Soldável/Roscável, PVC Marrom, Água Fria 40ø-1 1/4""";un;5.0;2.5;"luva soldavel/roscavel, pvc marrom, agua fria 40ø-1 1/4""||un";50145;novo
Instalações de água fria;41;Luva Soldável/Roscável, PVC Marrom, Água Fria;"50ø-1 1/2""";"Luva Soldável/Roscável, PVC Marrom, Água Fria 50ø-1 1/2""";un;5.0;2.5;"luva soldavel/roscavel, pvc marrom, agua fria 50ø-1 1/2""||un";50146;novo
Instalações de água fria;42;Registro Esfera Soldável, PVC Marrom, Água Fria;25ø-25ø;Registro Esfera Soldável, PVC Marrom, Água Fria 25ø-25ø;un;5.0;31.72;registro esfera soldavel, pvc marrom, agua fria 25ø-25ø||un;50147;novo
Instalações de água fria;43;Registro Esfera Soldável, PVC Marrom, Água Fria;32ø-32ø;Registro Esfera Soldável, PVC Marrom, Água Fria 32ø-32ø;un;205.0;31.72;registro esfera soldavel, pvc marrom, agua fria 32ø-32ø||un;50148;novo
Instalações de água fria;44;Registro Esfera Soldável, PVC Marrom, Água Fria;60ø-60ø;Registro Esfera Soldável, PVC Marrom, Água Fria 60ø-60ø;un;5.0;31.72;registro esfera soldavel, pvc marrom, agua fria 60ø-60ø||un;50149;novo
Instalações de água fria;45;Tubo PVC rígido, cor marrom, linha soldável (Tubo de 6m);ø25mm;Tubo PVC rígido, cor marrom, linha soldável (Tubo de 6m) ø25mm;m;18510.0;2.57;tubo pvc rigido, cor marrom, linha soldavel (tubo de 6m) ø25mm||m;50150;novo
Instalações de água fria;46;Tubo PVC rígido, cor marrom, linha soldável (Tubo de 6m);ø32mm;Tubo PVC rígido, cor marrom, linha soldável (Tubo de 6m) ø32mm;m;6360.0;7.8;tubo pvc rigido, cor marrom, linha soldavel (tubo de 6m) ø32mm||m;50151;novo
